#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
1.,Marcquise Reed,TRA,30,31.1,23.4,8.1,15.0,537,1.3,3.8,345,6.0,6.9,874,0.7,2.9,3.6,5.2,2.0,0.1,2.6,2.5
2.,Cameron Young,PIN,28,25.2,17.0,5.1,11.0,463,2.1,5.1,413,4.7,5.7,824,0.6,2.5,3.1,1.4,0.6,0.1,1.3,2.2
3.,"James Palmer, Jr.",GAL,29,30.1,16.7,6.8,13.5,504,2.0,5.6,350,1.2,2.8,425,0.7,3.5,4.2,4.7,1.3,0.1,1.9,1.9
4.,Jalen Lecque,DEM,24,27.2,15.7,5.3,11.8,450,1.9,4.9,381,3.3,4.5,716,1.0,2.4,3.4,2.0,0.8,0.3,1.9,3.0
5.,Jordon Crawford,ENEN,29,26.0,15.2,5.1,12.6,407,1.7,5.7,299,3.2,3.6,886,0.4,1.6,1.9,5.9,0.9,0.0,2.1,1.7
6.,Judah Mintz,MANI,24,25.7,15.1,5.0,10.3,486,0.3,1.5,200,4.8,6.3,763,0.4,1.9,2.3,2.1,1.3,0.0,1.7,2.4
7.,Mike Smith,BURS,10,30.6,15.0,4.9,10.8,454,1.7,3.5,486,3.5,4.1,854,0.4,1.6,2.0,6.6,0.9,0.0,2.0,2.5
8.,Marek Blazevic,TOF,28,26.1,15.0,6.1,9.0,681,0.1,0.3,222,2.7,3.9,682,2.5,4.4,6.9,1.8,0.9,0.2,1.9,3.1
9.,Brandon Childress,BURS,30,29.9,14.9,4.3,10.7,406,1.7,5.7,302,4.5,5.0,907,0.2,2.4,2.6,6.8,1.8,0.0,3.3,2.7
10.,Anthony Cowan,MER,29,26.7,14.9,3.7,9.2,396,2.3,6.1,373,5.3,6.8,783,0.2,1.4,1.6,6.8,0.8,0.1,2.8,2.7
11.,Malachi Flynn,BAHC,26,28.8,14.8,4.9,11.7,416,2.3,6.3,370,2.7,3.5,789,0.6,2.3,2.9,4.8,1.6,0.1,2.0,2.1
12.,Errick McCollum,GAL,25,22.1,14.7,4.8,11.1,435,1.6,4.8,345,3.4,4.1,825,0.9,2.2,3.1,2.1,0.8,0.3,1.4,1.8
13.,Yannick Franke,SOC,29,26.3,14.7,4.2,10.5,398,2.4,6.3,379,4.0,4.3,913,0.6,3.0,3.6,1.6,0.7,0.0,1.8,2.0
14.,David Efianayi,SOC,29,30.8,14.6,4.7,10.7,441,1.8,4.9,357,3.3,3.9,851,0.6,1.8,2.4,5.1,0.6,0.2,3.2,1.9
15.,Jonah Mathews,BES,25,24.9,14.4,4.9,11.0,442,2.1,5.3,398,2.5,3.1,795,0.3,1.9,2.2,2.9,1.2,0.1,2.2,2.8
16.,Vrenz Bleijenbergh,MERK,19,34.5,14.3,4.0,10.0,400,2.3,5.9,381,4.1,4.7,856,0.8,5.1,5.8,4.3,1.7,0.7,2.7,2.5
17.,P.J. Pipes,DEM,28,24.5,13.6,4.9,10.7,460,2.1,5.2,397,1.7,2.0,839,0.3,1.4,1.7,2.1,0.4,0.0,2.2,1.6
18.,"Charles Manning, Jr.",PIN,30,28.4,13.6,5.2,11.0,473,0.8,2.6,316,2.4,2.8,835,0.5,2.6,3.1,2.9,0.7,0.5,1.7,2.6
19.,Pako Cruz,MER,29,26.0,13.3,4.9,10.7,455,2.8,7.0,399,0.8,1.1,719,0.7,1.7,2.4,4.0,1.0,0.0,2.8,2.3
20.,Mike Moore,PIN,7,29.0,13.1,4.9,9.4,515,1.9,4.4,419,1.6,1.9,846,0.6,2.3,2.9,1.1,0.4,0.1,0.9,2.9
21.,Stanley Whittaker,SOC,23,27.0,13.1,5.1,10.9,468,1.6,3.7,430,1.3,1.7,816,0.5,1.8,2.3,3.5,0.7,0.1,1.8,2.8
22.,Marcus Georges-Hunt,BURS,10,25.1,13.1,4.5,8.3,542,1.8,3.7,486,2.3,2.9,793,0.5,2.2,2.7,1.9,0.9,0.2,1.1,1.9
23.,Jordan Loyd,EFE,25,24.5,12.9,3.9,8.8,445,2.3,5.4,426,2.8,3.2,873,0.3,2.2,2.5,1.9,1.0,0.0,1.1,2.3
24.,Talen Horton-Tucker,FEN,20,20.1,12.8,4.5,9.2,484,1.0,3.0,333,2.9,4.0,725,0.9,2.4,3.2,3.3,1.3,0.5,1.9,1.8
25.,Tyler Cavanaugh,BAHC,24,26.5,12.7,4.3,8.4,505,1.3,3.4,366,3.0,3.1,959,2.0,3.5,5.5,1.6,0.8,0.2,0.9,2.2
26.,Alexander Perez Kaufmann,TOF,30,29.0,12.6,4.3,8.9,479,1.8,4.2,432,2.3,2.9,802,0.5,2.1,2.6,6.4,1.2,0.2,1.9,2.2
27.,Ante Zizic,BES,24,22.7,12.4,4.4,6.6,671,0.0,0.0,0,3.6,4.6,782,2.3,4.0,6.3,0.9,0.4,0.7,1.5,2.1
28.,Keye Van Der Vuurst De Vries,DEM,29,31.9,12.4,3.5,9.4,370,1.7,5.7,295,3.7,4.1,908,0.4,2.9,3.3,8.7,1.0,0.0,3.6,3.1
29.,Will Cummings,GAL,12,27.5,12.3,4.3,9.7,440,1.0,3.1,324,2.8,3.4,829,0.8,2.5,3.3,4.4,1.3,0.1,2.6,2.3
30.,"Kyle Allman, Jr.",TUR,21,22.1,12.3,3.5,9.0,386,1.0,3.0,323,4.4,6.5,676,0.1,2.3,2.4,3.5,0.8,0.3,2.3,1.8
31.,Tarik Biberovic,FEN,24,22.9,12.2,4.4,8.8,500,2.5,5.2,488,0.8,1.0,833,0.9,2.7,3.6,2.4,0.4,0.0,1.6,2.0
32.,Jaleen Smith,TUR,28,26.5,12.2,3.6,9.9,366,2.2,6.0,367,2.8,3.0,917,0.5,2.1,2.6,3.6,1.0,0.0,1.6,2.1
