#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER
1.,Nikola Milutinov,OLY,731,677,146.2,19.4,22.5,21.0,10.5,9.4,1.6,3.1,16.9,0.9,2.0,152.9,109.9,43.0,473.5,25.9
2.,Ebuka Izundu,ZVE,738,713,147.9,21.5,16.3,18.8,4.6,10.1,1.6,4.3,18.9,-2.5,1.8,145.5,113.5,32.0,232.8,24.9
3.,Mfiondu Kabengele,DUB,636,593,170.6,12.0,22.5,17.5,10.6,8.2,1.8,3.2,26.0,-0.9,1.5,128.5,114.5,13.9,398.6,24.8
4.,Sasha Vezenkov,OLY,671,615,183.4,7.1,22.3,15.0,8.4,7.3,1.2,0.4,26.0,-1.0,1.6,135.4,112.1,23.3,517.1,24.6
5.,Daniel Oturu,HAP,711,708,135.1,14.6,16.7,15.7,6.4,12.7,1.1,5.8,22.7,-3.6,1.6,131.9,113.8,18.1,469.5,24.4
6.,Donta Hall,OLY,791,769,154.4,15.3,22.8,19.3,7.1,10.5,1.6,6.4,15.1,-0.5,2.0,154.1,108.0,46.1,296.1,24.3
7.,Nando De Colo,LYV,723,615,188.3,1.4,11.9,6.4,42.5,22.7,2.7,0.4,27.5,1.7,1.8,126.5,116.6,9.9,132.0,24.2
8.,Jean Montero,VAL,576,506,162.9,4.3,12.1,8.2,34.5,10.0,2.4,1.5,27.7,7.7,1.3,128.6,113.0,15.6,417.4,23.2
9.,T.J. Leaf,MAC,673,630,188.0,12.8,19.0,15.8,10.3,6.3,1.3,2.8,18.2,1.4,1.5,142.7,119.5,23.2,208.1,22.6
10.,Moses Wright,ZAL,650,616,164.0,13.3,22.5,17.9,6.4,13.0,1.5,3.5,23.6,-4.2,1.5,124.5,112.1,12.4,448.0,22.5
11.,Tyrique Jones,OLY,711,686,136.8,15.7,18.2,17.0,13.1,17.6,3.7,3.7,18.1,-1.4,2.0,133.7,104.7,29.1,101.5,22.2
12.,Justin Robinson,PAR,576,505,158.8,1.9,7.7,4.7,44.1,14.0,2.4,0.3,33.8,4.8,1.4,120.9,118.4,2.5,308.4,22.2
13.,Tyrique Jones,PAR,680,670,131.5,12.5,22.6,17.1,15.7,16.9,2.9,3.1,19.2,-0.9,1.6,126.8,114.9,11.9,182.3,22.0
14.,Omer Yurtseven,PAN,679,635,144.2,12.8,22.6,17.5,9.0,13.8,1.8,5.5,19.9,-2.5,1.6,129.2,110.8,18.4,106.6,22.0
15.,Trey Lyles,RMB,641,592,173.2,6.6,19.7,13.3,13.3,11.7,1.3,2.5,26.1,-1.5,1.5,126.1,112.7,13.5,365.8,21.9
16.,Nadir Hifi,PAR,566,498,160.8,1.7,10.9,6.2,33.0,12.4,2.2,0.1,37.1,0.6,1.3,116.8,117.3,-0.5,346.6,21.9
17.,Bruno Caboclo,DUB,847,857,223.5,11.7,18.9,15.6,6.0,10.9,0.0,5.5,15.5,-1.2,2.0,153.9,116.9,37.0,58.4,21.3
18.,Sylvain Francisco,ZAL,609,553,162.0,2.3,11.2,6.8,39.8,17.3,2.0,1.1,28.2,5.6,1.4,122.0,115.9,6.2,522.8,21.1
19.,Nikola Mirotic,ASM,634,579,169.2,6.5,21.8,14.2,11.7,7.5,2.0,1.7,23.0,1.0,1.5,129.8,112.6,17.1,258.1,20.9
20.,Timothe Luwawu-Cabarrot,BASK,644,585,178.6,2.9,14.7,8.9,14.0,11.0,1.3,0.4,29.3,-1.9,1.5,122.5,123.0,-0.5,352.4,20.7
